fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
decision,depth_first_search,FALSE,193885,241949,0,0,0,999999,999999,0,0,146,0.364089776
decision,depth_first_search,FALSE,248439,149002,0,0,0,999999,999999,0,0,140,0.349127182
decision,depth_first_search,FALSE,375121,927800,0,0,0,999999,999999,0,0,145,0.36159601
decision,depth_first_search,FALSE,433877,467792,0,0,0,999999,999999,0,0,123,0.306733167
decision,depth_first_search,FALSE,473371,742145,0,0,0,999999,999999,0,0,130,0.324189526
decision,depth_first_search,FALSE,499438,64566,0,0,0,999999,999999,0,0,133,0.331670823
decision,depth_first_search,FALSE,553641,242852,0,0,0,999999,999999,0,0,128,0.319201995
decision,depth_first_search,FALSE,568877,630955,0,0,0,999999,999999,0,0,143,0.356608479
decision,depth_first_search,FALSE,638521,906078,0,0,0,999999,999999,0,0,139,0.346633416
decision,depth_first_search,FALSE,659042,699001,0,0,0,999999,999999,0,0,125,0.311720698
decision,depth_first_search,FALSE,685458,78420,0,0,0,999999,999999,0,0,132,0.329177057
decision,depth_first_search,FALSE,698631,248335,0,0,0,999999,999999,0,0,148,0.369077307
decision,depth_first_search,FALSE,708103,398201,0,0,0,999999,999999,0,0,177,0.441396509
decision,depth_first_search,FALSE,765054,136772,0,0,0,999999,999999,0,0,147,0.366583541
decision,depth_first_search,FALSE,802734,927367,0,0,0,999999,999999,0,0,134,0.334164589
decision,depth_first_search,FALSE,847492,734547,0,0,0,999999,999999,0,0,132,0.329177057
decision,depth_first_search,FALSE,861818,714773,0,0,0,999999,999999,0,0,132,0.329177057
decision,depth_first_search,FALSE,864447,325340,0,0,0,999999,999999,0,0,134,0.334164589
decision,depth_first_search,FALSE,922513,629018,0,0,0,999999,999999,0,0,160,0.399002494
